20010205 00:00,611900,619000,601200,615600,35503900
20010206 00:00,614900,631200,611200,617000,41770200
20010207 00:00,605100,635000,585800,602000,61065000
20010208 00:00,609000,615000,586500,587000,49388600
20010209 00:00,582500,593200,559500,564600,53923600
20010212 00:00,562500,599600,555000,569900,50717500
20010213 00:00,576500,591800,550000,551000,56703000
20010214 00:00,554000,576100,541300,575000,63183900
20010215 00:00,588000,604900,559900,591000,64075400
20010216 00:00,559600,580900,544400,552600,66033400
20010220 00:00,557400,558400,523900,524000,54283000
20010221 00:00,515500,540700,509200,514000,71588600
20010222 00:00,514500,521600,488900,506500,103011300
20010223 00:00,500900,551000,478000,512600,92596000
20010226 00:00,520800,526000,502500,522500,77513400
20010227 00:00,515400,520800,489000,491500,64978600
20010228 00:00,494500,502100,467400,475000,103002500
20010301 00:00,469700,492000,456300,489500,99562100
20010302 00:00,472000,572500,456500,467500,96432700
20010305 00:00,475000,483600,470900,477800,42975900
20010306 00:00,493000,506600,491000,493200,62538000
20010307 00:00,504000,504300,489700,497200,54750000
20010308 00:00,493500,498500,481000,482500,48622000
20010309 00:00,472500,495600,449000,452000,79218100
20010312 00:00,440000,449500,418000,419500,78427100
20010313 00:00,427800,447400,421000,446800,79151000
20010314 00:00,427000,451900,421000,435100,95895400
20010315 00:00,452000,459500,422500,423200,68653700
20010316 00:00,418800,442500,400500,411000,76209500
20010319 00:00,414400,432500,407500,431900,52692800
20010320 00:00,434400,452000,402000,402000,105692400
20010321 00:00,405200,442500,388300,401000,93462300
20010322 00:00,406000,426600,387500,425000,137815500
20010323 00:00,435500,438300,415000,425200,97528100
20010326 00:00,434700,439000,415500,419300,56139500
20010327 00:00,418000,445600,412700,432500,66475700
20010328 00:00,419000,422000,399000,399000,77522400
20010329 00:00,393800,406100,373300,389700,79643600
20010330 00:00,393000,399800,380000,391300,63067100
20010402 00:00,391700,399100,366700,377500,69169900
20010403 00:00,372000,392500,346200,348600,86663600
20010404 00:00,347100,358100,330500,341000,74655900
20010405 00:00,360000,379600,357000,377700,89159500
20010406 00:00,369000,371000,355000,361500,86475100
20010409 00:00,367900,379500,350500,369500,50189400
20010410 00:00,379000,404600,377800,399000,97463700
20010411 00:00,421600,425000,404500,411000,92204700
20010412 00:00,403000,434000,400000,427000,78626700
20010416 00:00,419400,424300,406300,411200,61071600
20010417 00:00,399500,424500,399000,416500,85919400
20010418 00:00,437200,510000,431200,455900,123366600
20010419 00:00,461000,487300,438000,487000,118045800
20010420 00:00,481800,495500,430500,481800,78204100
20010423 00:00,469900,495000,448900,451300,78734700
20010424 00:00,451000,466000,437500,439200,87153500
